2023.06.22 11:01:49 INFO  web[][DbMigrations] #5003 'Recreate PK on 'uuid' for 'ce_activity' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5003 'Recreate PK on 'uuid' for 'ce_activity' table': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5004 'Drop PK on 'uuid' for 'events' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5004 'Drop PK on 'uuid' for 'events' table': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5005 'Drop 'events_uuid' index'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5005 'Drop 'events_uuid' index': success | time=2ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5006 'Recreate PK on 'uuid' for 'events' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5006 'Recreate PK on 'uuid' for 'events' table': success | time=2ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table': success | time=1ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table': success | time=1ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index': success | time=2ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table': success | time=3ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6001 'Drop 'manual_measures_component_uuid' index'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6001 'Drop 'manual_measures_component_uuid' index': success | time=4ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6002 'Drop 'manual_measures' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6002 'Drop 'manual_measures' table': success | time=5ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6003 'Drop custom metrics data from 'live_measures' table'...
2023.06.22 11:01:49 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6003 'Drop custom metrics data from 'live_measures' table': success | time=12ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table'...
2023.06.22 11:01:49 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table': success | time=7ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table'...
2023.06.22 11:01:49 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table': success | time=6ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table': success | time=11ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6007 'Create Audit table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6007 'Create Audit table': success | time=5ms
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6008 'Add column 'removed' to 'plugins' table'...
2023.06.22 11:01:49 INFO  web[][DbMigrations] #6008 'Add column 'removed' to 'plugins' table': success | time=8ms
